"ngenomes","canon","type","scaled","metric","value"
1,1,"value","scaled","r",0
1,1,"value","scaled","z",0
2,1,"value","scaled","r",0.100845626984709
2,1,"value","scaled","z",0.099667074327895
3,1,"value","scaled","r",0.100855121770311
3,1,"value","scaled","z",0.0996809479826235
4,1,"value","scaled","r",0.177980573542899
4,1,"value","scaled","z",0.181180261236714
5,1,"value","scaled","r",0.217534467014926
5,1,"value","scaled","z",0.226894373980759
6,1,"value","scaled","r",0.218429051880892
6,1,"value","scaled","z",0.227775561262906
7,1,"value","scaled","r",0.221457322573582
7,1,"value","scaled","z",0.230606627655071
8,1,"value","scaled","r",0.221598298131992
8,1,"value","scaled","z",0.230821879510252
9,1,"value","scaled","r",0.264295908828931
9,1,"value","scaled","z",0.276649083561022
10,1,"value","scaled","r",0.265118874086944
10,1,"value","scaled","z",0.277693391389674
11,1,"value","scaled","r",0.307811831710144
11,1,"value","scaled","z",0.323608041506612
12,1,"value","scaled","r",0.307846855521935
12,1,"value","scaled","z",0.323653866608594
13,1,"value","scaled","r",0.335677141071009
13,1,"value","scaled","z",0.358760939692064
14,1,"value","scaled","r",0.358917546653038
14,1,"value","scaled","z",0.386189155090223
15,1,"value","scaled","r",0.364518086812019
15,1,"value","scaled","z",0.390928900041999
16,1,"value","scaled","r",0.366456092024217
16,1,"value","scaled","z",0.392439446752283
17,1,"value","scaled","r",0.381507402222886
17,1,"value","scaled","z",0.407026543664806
18,1,"value","scaled","r",0.384758706058164
18,1,"value","scaled","z",0.409516234067894
19,1,"value","scaled","r",0.622802790284835
19,1,"value","scaled","z",0.612496211020811
20,1,"value","scaled","r",0.646436254839039
20,1,"value","scaled","z",0.641480798231235
21,1,"value","scaled","r",0.651112719705252
21,1,"value","scaled","z",0.647380464801066
22,1,"value","scaled","r",0.690059324174994
22,1,"value","scaled","z",0.690358104253368
23,1,"value","scaled","r",0.690977614565278
23,1,"value","scaled","z",0.691549977318677
24,1,"value","scaled","r",0.694541491772925
24,1,"value","scaled","z",0.694873768660591
25,1,"value","scaled","r",0.703507776229408
25,1,"value","scaled","z",0.701857261954361
26,1,"value","scaled","r",0.717668274324603
26,1,"value","scaled","z",0.713253838693119
27,1,"value","scaled","r",0.717837734239819
27,1,"value","scaled","z",0.713399722274657
28,1,"value","scaled","r",0.744616362244557
28,1,"value","scaled","z",0.742735354991089
29,1,"value","scaled","r",0.811715634818221
29,1,"value","scaled","z",0.804623206252057
30,1,"value","scaled","r",0.819333596839834
30,1,"value","scaled","z",0.810513623718736
31,1,"value","scaled","r",0.820216737659577
31,1,"value","scaled","z",0.81141036631073
32,1,"value","scaled","r",0.820641299198552
32,1,"value","scaled","z",0.812003570153817
33,1,"value","scaled","r",0.845891140962605
33,1,"value","scaled","z",0.841429591832874
34,1,"value","scaled","r",0.86419256028843
34,1,"value","scaled","z",0.863629541467303
35,1,"value","scaled","r",0.892484443328266
35,1,"value","scaled","z",0.893310754310608
36,1,"value","scaled","r",0.923564209210747
36,1,"value","scaled","z",0.916305706402355
37,1,"value","scaled","r",0.933572027632215
37,1,"value","scaled","z",0.928990851375741
38,1,"value","scaled","r",0.933705960700642
38,1,"value","scaled","z",0.929121600061212
39,1,"value","scaled","r",0.957255795686299
39,1,"value","scaled","z",0.956891191448447
40,1,"value","scaled","r",0.960825835072682
40,1,"value","scaled","z",0.960015286245028
41,1,"value","scaled","r",0.960923549621196
41,1,"value","scaled","z",0.960109879345449
42,1,"value","scaled","r",0.962030541015399
42,1,"value","scaled","z",0.961218930896167
43,1,"value","scaled","r",0.96278616246295
43,1,"value","scaled","z",0.96190042163298
44,1,"value","scaled","r",0.974822532396397
44,1,"value","scaled","z",0.974999253765541
45,1,"value","scaled","r",0.975007146240952
45,1,"value","scaled","z",0.975350719685329
46,1,"value","scaled","r",0.975600979057018
46,1,"value","scaled","z",0.976141518004851
47,1,"value","scaled","r",0.981265153143346
47,1,"value","scaled","z",0.981441674524901
48,1,"value","scaled","r",0.990882805043882
48,1,"value","scaled","z",0.988830026288474
49,1,"value","scaled","r",0.997088810703277
49,1,"value","scaled","z",0.997571269594961
50,1,"value","scaled","r",1
50,1,"value","scaled","z",1
1,1,"value","scaled","δ",0
10,1,"value","scaled","δ",0.272263261046075
11,1,"value","scaled","δ",0.31471289464113
12,1,"value","scaled","δ",0.314737890330571
13,1,"value","scaled","δ",0.342058585323668
14,1,"value","scaled","δ",0.364593012222769
15,1,"value","scaled","δ",0.370444442155834
16,1,"value","scaled","δ",0.372490735609713
17,1,"value","scaled","δ",0.387595447843682
18,1,"value","scaled","δ",0.390964379059572
19,1,"value","scaled","δ",0.639872064165009
2,1,"value","scaled","δ",0.108072499431119
20,1,"value","scaled","δ",0.662054620850555
21,1,"value","scaled","δ",0.666173016315704
22,1,"value","scaled","δ",0.703288668489421
23,1,"value","scaled","δ",0.704113932674952
24,1,"value","scaled","δ",0.707638020060666
25,1,"value","scaled","δ",0.716866205063635
26,1,"value","scaled","δ",0.731345008976639
27,1,"value","scaled","δ",0.73146958098987
28,1,"value","scaled","δ",0.75665253488479
29,1,"value","scaled","δ",0.822386524124175
3,1,"value","scaled","δ",0.108078595940739
30,1,"value","scaled","δ",0.830242283203237
31,1,"value","scaled","δ",0.831098334762348
32,1,"value","scaled","δ",0.831428867192234
33,1,"value","scaled","δ",0.854720582194605
34,1,"value","scaled","δ",0.870995925884065
35,1,"value","scaled","δ",0.897717638807018
36,1,"value","scaled","δ",0.929498540237947
37,1,"value","scaled","δ",0.938226303409625
38,1,"value","scaled","δ",0.938327302252326
39,1,"value","scaled","δ",0.959447643745119
4,1,"value","scaled","δ",0.186944568509625
40,1,"value","scaled","δ",0.962954762512391
41,1,"value","scaled","δ",0.963029749580714
42,1,"value","scaled","δ",0.964107815698479
43,1,"value","scaled","δ",0.964859616943092
44,1,"value","scaled","δ",0.975982089093419
45,1,"value","scaled","δ",0.976109912578447
46,1,"value","scaled","δ",0.976542053501996
47,1,"value","scaled","δ",0.982083780746376
48,1,"value","scaled","δ",0.991846629642999
49,1,"value","scaled","δ",0.997080279934593
5,1,"value","scaled","δ",0.22578793522084
50,1,"value","scaled","δ",1
6,1,"value","scaled","δ",0.226663328682495
7,1,"value","scaled","δ",0.229718333199464
8,1,"value","scaled","δ",0.229828179238863
9,1,"value","scaled","δ",0.27155062261802
